Mission,State,From,To,Run By,Lat,Lon,Wikipedia,Find & Connect
Ulgundahi Island,NSW,1907,1941,,-29.434,153.2124,,
Ulladulla,NSW,1892,1922,,-35.3618,150.48,,
Urunga (Yellow Rock),NSW,1891,1967,,-30.4831,153.0243,,
Wallaga Lake,NSW,1891,1967,,-36.3503,150.067,,
Wamba Wamba Reserve (Murray Downs),NSW,1953,1969,,-35.336,143.5654,,
Wantabadgery,NSW,1904,1925,,-35.0468,147.7246,,
Warangesda,NSW,1879,1926,CE – Church of England / ABM – Australian Board of Mission,34°35′51″S,146°00′46″E,https://en.wikipedia.org/wiki/Warangesda_Aboriginal_Mission,https://www.findandconnect.gov.au/entity/warangesda-dormitory/
Wauchope,NSW,1887,1941,,-31.4494,152.7573,,
Wellington Town Common,NSW,1868,1970,,-32.5877,148.9812,,
Wellington Valley,NSW,1832,1842,CMS – Church Missionary Society,32°34′31″S,148°57′04″E,https://en.wikipedia.org/wiki/Wellington_Convict_and_Mission_Site,
Whiskey Island,NSW,1893,1919,,-30.8835,153.0001,,
White Cliffs,NSW,1910,1940,,-30.8324,143.0717,,
Whiteman Creek,NSW,1887,1921,,-29.5733,152.8518,,
Wingadee (Coonamble),NSW,1900,1922,,-30.5243,148.4095,,
Wirrimbi Island,NSW,1908,1924,,-30.6698,152.9124,,
Wooloweyah Estuary (Yamba),NSW,1887,1958,,-29.5171,153.3194,,
Woolscour Reserve,NSW,1930,1940,,-34.7461,146.5323,,
Wreck Bay,NSW,1928,1965,,-35.1678,150.6892,,
Yarboro's Reserve (Potato Point),NSW,1877,1922,,-36.0877,150.1313,,
Yass 'Blacks Camp',NSW,1870,1934,,-34.8339,148.9217,,
Yelta,NSW,,,,,,,
Alice Springs (Children's Home),NT,1959,1966,ABM – Australian Board of Mission,-23.6923539,133.8456328,,https://www.findandconnect.gov.au/entity/receiving-home-alice-springs/
Alice Springs (Children's Home),NT,1966,1976,,-23.6923539,133.8456328,,https://www.findandconnect.gov.au/entity/bradshaw-house/
Alice Springs/Arltunga,NT,1942,1954,RC – Roman Catholic,23°26′51″S,134°43′02″E,https://en.wikipedia.org/wiki/Arltunga_Historical_Reserve,https://www.findandconnect.gov.au/entity/arltunga-mission/
Angurugu (Groote Eylandt),NT,1943,1978,,-13.9817054,136.4207065,,
Areyonga,NT,1942,1990,L – Lutheran Church of Australia,-24.0733279,132.2269007,,https://www.findandconnect.gov.au/entity/areyonga-native-settlement/
Bagot Compound,NT,1938,1978,AIM – Aborigines Inland Mission,-12.4114001,130.8142106,,https://www.findandconnect.gov.au/entity/bagot-aboriginal-reserve/
Bamyill (Katherine),NT,1969,,AIM – Aborigines Inland Mission,14°31′15″S,132°51′54″E,"https://en.wikipedia.org/wiki/Barunga,_Northern_Territory",
Baptist Home (Darwin),NT,1969,1976,BAP – Australian Baptist Missionary Society,,,,
Bathurst Island,NT,1911,1974,RC (MSC) – Roman Catholic (Missionaries of the Sacred Heart),11°45′32.76″S,130°38′4.92″E,https://en.wikipedia.org/wiki/Wurrumiyanga,https://www.findandconnect.gov.au/entity/bathurst-island-mission/
Borroloola,NT,1951,,AIM – Aborigines Inland Mission,16°04′13″S,136°18′26″E,https://en.wikipedia.org/wiki/Borroloola,
Channel Island (Leper Station),NT,1930,1943,RC (J/MSC) – Roman Catholic (Jesuit/Missionaries of the Sacred Heart),-12.5540873,130.8285175,,https://www.findandconnect.gov.au/entity/channel-island-leprosarium/
Channel Island (Leper Station),NT,1955,1982,RC (J/MSC) – Roman Catholic (Jesuit/Missionaries of the Sacred Heart),-12.5540873,130.8285175,,
