Name,Features,Alternative Name,Wikipedia,Commenced,Opened,Closed,Line Length (km)
GIPPSLAND PLAINS RAIL TRAIL,3,,https://en.wikipedia.org/wiki/Maffra_railway_line,1883,1887,1994,
PETERBOROUGH BROKEN HILL RAILWAY,60,,https://en.wikipedia.org/wiki/Crystal_Brook%E2%80%93Broken_Hill_railway_line,,1888,,
CRYSTAL BROOK - BROKEN HILL,42,,https://en.wikipedia.org/wiki/Crystal_Brook%E2%80%93Broken_Hill_railway_line,,1888,,371
HAMILTON-COLERAINE RAIL TRAIL,27,,https://en.wikipedia.org/wiki/Coleraine_railway_line,,1888,1977,
BEAUDESERT BRANCH,5,,https://en.wikipedia.org/wiki/Beaudesert_railway_line,,1888,1996,43
NACKARA,1,,"https://en.wikipedia.org/wiki/Nackara,_South_Australia",,1888,1965,
MAIN NORTHERN RAILWAY,764,Great Northern Railway,"https://en.wikipedia.org/wiki/Main_North_railway_line,_New_South_Wales",1857,1889,,781
ARARAT LINE,226,Serviceton and Western lines,https://en.wikipedia.org/wiki/Ararat_railway_line,1874,1889,,
INNER CITY LINE,89,Roma Street Platform 7,,1875,1889,,
NORTH EAST LINE,89,,,,1889,,
BINNAWAY WERRIS CREEK RAILWAY,79,,https://en.wikipedia.org/wiki/Binnaway%E2%80%93Werris_Creek_railway_line,1857,1889,,136
STONY POINT LINE,66,,https://en.wikipedia.org/wiki/Stony_Point_line,1888,1889,,31
SOUTH MORANG LINE,63,Mernda line,https://en.wikipedia.org/wiki/Mernda_line,1888,1889,,33
UPFIELD LINE,61,,https://en.wikipedia.org/wiki/Upfield_line,1884,1889,,20
AVON YARD ALBANY RAILWAY,34,,https://en.wikipedia.org/wiki/Great_Southern_Railway_(Western_Australia),1886,1889,,
BACCHUS MARSH JUNCTION-NEWPORT,32,,https://en.wikipedia.org/wiki/Western_standard_gauge_railway_line,,1889,,
MORINGTON TOURIST RAILWAY,24,,https://en.wikipedia.org/wiki/Mornington_Tourist_Railway,,1889,,
DENNINGTON LINE,296,Warrnambool railway line,https://en.wikipedia.org/wiki/Warrnambool_railway_line,1857,1890,,298
CABOOLTURE/SUNSHINE COAST LINE,130,Roma Street to Caboolture,https://en.wikipedia.org/wiki/Sunshine_Coast_railway_line,,1890,,180
BALLARAT-SKIPTON RAIL TRAIL,37,,https://en.wikipedia.org/wiki/Skipton_railway_line,,1890,1986,55
EVERTON-MYRTLEFORD RAIL TRAIL,26,,https://en.wikipedia.org/wiki/Bright_railway_line,1883,1890,1987,
MARYBOROUGH-ARARAT LINE,26,,https://en.wikipedia.org/wiki/Avoca_railway_line,1874,1890,,88
MYRTLEFORD-BRIGHT RAIL TRAIL,24,,https://en.wikipedia.org/wiki/Bright_railway_line,1883,1890,1987,
DOOKIE-KATAMATITE RAILWAY,12,,https://en.wikipedia.org/wiki/Katamatite_railway_line,,1890,1987,27
EVERTON-BEECHWORTH RAIL TRAIL,11,,https://en.wikipedia.org/wiki/Bright_railway_line,1883,1890,1987,
MURRAY TO THE MOUNTAINS RAIL TRAIL,5,,https://en.wikipedia.org/wiki/Bright_railway_line,1883,1890,1987,
TALLAROOK-MANSFIELD RAIL TRAIL,126,,https://en.wikipedia.org/wiki/Mansfield_railway_line,1883,1891,1978,121
DANDENONG-LEONGATHA,105,,https://en.wikipedia.org/wiki/South_Gippsland_railway_line,1888,1891,1999,
BONNIE DOON-MANSFIELD RAIL TRAIL,25,,https://en.wikipedia.org/wiki/Mansfield_railway_line,1883,1891,1978,121
GREAT VICTORIAN RAIL TRAIL,25,,https://en.wikipedia.org/wiki/Mansfield_railway_line,1883,1891,1978,121
MERTON-BONNIE DOON RAIL TRAIL,23,,https://en.wikipedia.org/wiki/Mansfield_railway_line,1883,1891,1978,
BOYANUP BUSSELTON RAILWAY,7,,https://en.wikipedia.org/wiki/Flinders_Bay_railway_line,,1891,1957,
GREAT SOUTHERN RAIL TRAIL,147,,https://en.wikipedia.org/wiki/Great_Southern_Rail_Trail,,1892,1992,131
SOUTH GIPPSLAND RAILWAY,110,,https://en.wikipedia.org/wiki/South_Gippsland_railway_line,1888,1892,,188
CAMPERDOWN-TIMBOON RAIL TRAIL,47,,https://en.wikipedia.org/wiki/Timboon_railway_line,1889,1892,1987,36
LEONGATHA LINE,31,,https://en.wikipedia.org/wiki/South_Gippsland_railway_line,1888,1892,1993,188
NYNGAN COBAR RAILWAY,28,,https://en.wikipedia.org/wiki/Cobar_railway_line,,1892,,
CULCAIRN COROWA RAILWAY,18,,https://en.wikipedia.org/wiki/Corowa_railway_line,1890,1892,1991,47
ILLAWARRA RAILWAY,345,South Coast Railway,"https://en.wikipedia.org/wiki/South_Coast_railway_line,_New_South_Wales",1884,1893,,153
NORTH SHORE RAILWAY,73,,https://en.wikipedia.org/wiki/North_Shore_railway_line,1889,1893,,25
