"Eden, New South Wales",Eden,New South Wales,"https://en.wikipedia.org/wiki/Eden,_New_South_Wales",37°04′0″S,149°54′0″E,-37.06666666666667,149.9,,1843
Wangaratta,Wangaratta,Victoria,https://en.wikipedia.org/wiki/Wangaratta,36°21′30″S,146°18′45″E,-36.358333333333334,146.3125,,1843
Bacchus Marsh,Bacchus Marsh,Victoria,https://en.wikipedia.org/wiki/Bacchus_Marsh,37°40′30″S,144°26′20″E,-37.675,144.4388888888889,,1844
"Tweed Heads, New South Wales",Tweed Heads,New South Wales,"https://en.wikipedia.org/wiki/Tweed_Heads,_New_South_Wales",28°11′0″S,153°33′0″E,-28.183333333333334,153.55,1844,1844
Jimboomba,Jimboomba,Queensland,https://en.wikipedia.org/wiki/Jimboomba,27°50′S,153°02′E,-27.833333333333332,153.03333333333333,1845,1845
Port Pirie,Port Pirie,South Australia,https://en.wikipedia.org/wiki/Port_Pirie,33°11′9″S,138°1′1″E,-33.18583333333333,138.01694444444445,1845,1845
"Ipswich, Queensland",Ipswich,Queensland,"https://en.wikipedia.org/wiki/Ipswich,_Queensland",27°37′S,152°46′E,-27.616666666666667,152.76666666666668,1827,1846
"Orange, New South Wales",Orange,New South Wales,"https://en.wikipedia.org/wiki/Orange,_New_South_Wales",33°17′0″S,149°06′0″E,-33.28333333333333,149.1,1846,1846
"Temora, New South Wales",Temora,New South Wales,"https://en.wikipedia.org/wiki/Temora,_New_South_Wales",34°26′0″S,147°32′0″E,-34.43333333333333,147.53333333333333,,1847
"Maryborough, Queensland",Maryborough,Queensland,"https://en.wikipedia.org/wiki/Maryborough,_Queensland",25°32′15″S,152°42′07″E,-25.5375,152.70194444444442,1847,1847
"Rockingham, Western Australia",Rockingham,Western Australia,"https://en.wikipedia.org/wiki/Rockingham,_Western_Australia",32°16′52″S,115°43′37″E,-32.28111111111111,115.72694444444444,1847,1847
Wagga Wagga,Wagga Wagga,New South Wales,https://en.wikipedia.org/wiki/Wagga_Wagga,35°7′8″S,147°22′8″E,-35.11888888888889,147.3688888888889,1829 (explored),1847
"Birdwood, South Australia",Birdwood,South Australia,"https://en.wikipedia.org/wiki/Birdwood,_South_Australia",34°49′15″S,138°57′47″E,-34.82083333333334,138.96305555555554,1848,1848
"Nanango, Queensland",Nanango,Queensland,"https://en.wikipedia.org/wiki/Nanango,_Queensland",26°40′0″S,152°00′0″E,-26.666666666666668,152.0,,1848
"Armidale, New South Wales",Armidale,New South Wales,"https://en.wikipedia.org/wiki/Armidale,_New_South_Wales",30°30′S,151°39′E,-30.5,151.65,1849,1849
Cooma,Cooma,New South Wales,https://en.wikipedia.org/wiki/Cooma,36°14′06″S,149°07′33″E,-36.235,149.12583333333333,1849,1849
Dubbo,Dubbo,New South Wales,https://en.wikipedia.org/wiki/Dubbo,32°15′25″S,148°36′4″E,-32.25694444444444,148.6011111111111,1849,1849
Gayndah,Gayndah,Queensland,https://en.wikipedia.org/wiki/Gayndah,25°37′28″S,151°36′29″E,-25.624444444444446,151.60805555555555,1849,1849
"Surat, Queensland",Surat,Queensland,"https://en.wikipedia.org/wiki/Surat,_Queensland",27°09′16″S,149°04′04″E,-27.154444444444444,149.06777777777776,1849,1849
Boggabri,Boggabri,New South Wales,https://en.wikipedia.org/wiki/Boggabri,30°42′S,150°02′E,-30.7,150.03333333333333,1850s,1850
"Casino, New South Wales",Casino,New South Wales,"https://en.wikipedia.org/wiki/Casino,_New_South_Wales",28°52′0″S,153°03′0″E,-28.866666666666667,153.05,,1850
"Woodside, South Australia",Woodside,South Australia,"https://en.wikipedia.org/wiki/Woodside,_South_Australia",34°57′11″S,138°52′27″E,-34.95305555555556,138.87416666666667,1850s,1850
"Cessnock, New South Wales",Cessnock,New South Wales,"https://en.wikipedia.org/wiki/Cessnock,_New_South_Wales",32°50′3″S,151°21′19.8″E,-32.83416666666667,151.3555,,1850
Deniliquin,Deniliquin,New South Wales,https://en.wikipedia.org/wiki/Deniliquin,35°32′0″S,144°58′0″E,-35.53333333333333,144.96666666666667,,1850
Geraldton,Geraldton,Western Australia,https://en.wikipedia.org/wiki/Geraldton,28°46′28″S,114°36′32″E,-28.774444444444445,114.60888888888888,1850,1850
"Meadows, South Australia",Meadows,South Australia,"https://en.wikipedia.org/wiki/Meadows,_South_Australia",35°11′0″S,138°45′0″E,-35.18333333333333,138.75,Circa 1850,1850
"Warwick, Queensland",Warwick,Queensland,"https://en.wikipedia.org/wiki/Warwick,_Queensland",28°12′55″S,152°02′07″E,-28.21527777777778,152.03527777777776,1850,1850
"Tamworth, New South Wales",Tamworth,New South Wales,"https://en.wikipedia.org/wiki/Tamworth,_New_South_Wales",31°05′S,150°55′E,-31.083333333333332,150.91666666666666,1818 (explored),1850
"Bega, New South Wales",Bega,New South Wales,"https://en.wikipedia.org/wiki/Bega,_New_South_Wales",36°40′S,149°50′E,-36.666666666666664,149.83333333333334,1851,1851
